"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 15 12:58:27 GMT 2024","Fri Mar 15 12:58:27 GMT 2024","545","PlaywrightAutoTests","SafariTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","login","login",""
"passed","Fri Mar 15 12:58:47 GMT 2024","Fri Mar 15 12:58:47 GMT 2024","79","PlaywrightAutoTests","EdgeTests","org.playground.CartPageTest","org.playground.CartPageTest","continueShoppingCheck","continueShoppingCheck",""
"passed","Fri Mar 15 12:58:30 GMT 2024","Fri Mar 15 12:58:31 GMT 2024","730","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProduct","addAndRemoveItemsFromProduct",""
"passed","Fri Mar 15 12:58:44 GMT 2024","Fri Mar 15 12:58:44 GMT 2024","112","PlaywrightAutoTests","SafariTests","org.playground.CartPageTest","org.playground.CartPageTest","removeCartItemCheck","removeCartItemCheck",""
"passed","Fri Mar 15 12:58:48 GMT 2024","Fri Mar 15 12:58:48 GMT 2024","1","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Fri Mar 15 12:58:43 GMT 2024","Fri Mar 15 12:58:43 GMT 2024","85","PlaywrightAutoTests","FirefoxTests","org.playground.CartPageTest","org.playground.CartPageTest","continueShoppingCheck","continueShoppingCheck",""
"passed","Fri Mar 15 12:58:38 GMT 2024","Fri Mar 15 12:58:38 GMT 2024","14","PlaywrightAutoTests","EdgeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkMenuStructure","checkMenuStructure",""
"passed","Fri Mar 15 12:58:46 GMT 2024","Fri Mar 15 12:58:47 GMT 2024","207","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","continueCheck","continueCheck",""
"passed","Fri Mar 15 12:58:44 GMT 2024","Fri Mar 15 12:58:44 GMT 2024","107","PlaywrightAutoTests","ChromiumTests","org.playground.CartPageTest","org.playground.CartPageTest","continueShoppingCheck","continueShoppingCheck",""
"passed","Fri Mar 15 12:58:35 GMT 2024","Fri Mar 15 12:58:36 GMT 2024","1012","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAbout","checkAbout",""
"passed","Fri Mar 15 12:58:50 GMT 2024","Fri Mar 15 12:58:54 GMT 2024","3957","PlaywrightAutoTests","SafariTests","org.playground.CheckoutE2ETest","org.playground.CheckoutE2ETest","orderCheckoutE2E","orderCheckoutE2E",""
"passed","Fri Mar 15 12:58:38 GMT 2024","Fri Mar 15 12:58:39 GMT 2024","993","PlaywrightAutoTests","SafariTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Fri Mar 15 12:58:33 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","85","PlaywrightAutoTests","SafariTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:50 GMT 2024","Fri Mar 15 12:58:50 GMT 2024","1","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Fri Mar 15 12:58:48 GMT 2024","Fri Mar 15 12:58:48 GMT 2024","0","PlaywrightAutoTests","SafariTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Fri Mar 15 12:58:26 GMT 2024","Fri Mar 15 12:58:27 GMT 2024","767","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","checkPageStructure","checkPageStructure",""
"passed","Fri Mar 15 12:58:44 GMT 2024","Fri Mar 15 12:58:44 GMT 2024","83","PlaywrightAutoTests","SafariTests","org.playground.CartPageTest","org.playground.CartPageTest","checkoutCheck","checkoutCheck",""
"passed","Fri Mar 15 12:58:32 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","154","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:26 GMT 2024","Fri Mar 15 12:58:27 GMT 2024","760","PlaywrightAutoTests","SafariTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","checkPageStructure","checkPageStructure",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:31 GMT 2024","207","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
"passed","Fri Mar 15 12:58:37 GMT 2024","Fri Mar 15 12:58:38 GMT 2024","924","PlaywrightAutoTests","SafariTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAllItems","checkAllItems",""
"passed","Fri Mar 15 12:58:49 GMT 2024","Fri Mar 15 12:58:50 GMT 2024","134","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:47 GMT 2024","Fri Mar 15 12:58:47 GMT 2024","153","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:49 GMT 2024","Fri Mar 15 12:58:49 GMT 2024","174","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","continueCheck","continueCheck",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:31 GMT 2024","172","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:31 GMT 2024","632","PlaywrightAutoTests","SafariTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProduct","addAndRemoveItemsFromProduct",""
"passed","Fri Mar 15 12:58:54 GMT 2024","Fri Mar 15 12:58:54 GMT 2024","146","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:47 GMT 2024","Fri Mar 15 12:58:48 GMT 2024","135","PlaywrightAutoTests","SafariTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:37 GMT 2024","Fri Mar 15 12:58:38 GMT 2024","946","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Fri Mar 15 12:58:33 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","130","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:46 GMT 2024","Fri Mar 15 12:58:46 GMT 2024","115","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:37 GMT 2024","Fri Mar 15 12:58:38 GMT 2024","931","PlaywrightAutoTests","EdgeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","205","PlaywrightAutoTests","FirefoxTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:32 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","153","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:54 GMT 2024","Fri Mar 15 12:58:54 GMT 2024","147","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","160","PlaywrightAutoTests","FirefoxTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:36 GMT 2024","Fri Mar 15 12:58:37 GMT 2024","914","PlaywrightAutoTests","ChromeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAllItems","checkAllItems",""
"passed","Fri Mar 15 12:59:02 GMT 2024","Fri Mar 15 12:59:05 GMT 2024","2419","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutE2ETest","org.playground.CheckoutE2ETest","orderCheckoutE2E","orderCheckoutE2E",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","204","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:32 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","153","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:38 GMT 2024","Fri Mar 15 12:58:38 GMT 2024","15","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkMenuStructure","checkMenuStructure",""
"passed","Fri Mar 15 12:58:53 GMT 2024","Fri Mar 15 12:58:53 GMT 2024","121","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","cancelCheck","cancelCheck",""
"passed","Fri Mar 15 12:58:27 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","283","PlaywrightAutoTests","ChromiumTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","191","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:33 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","120","PlaywrightAutoTests","SafariTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:43 GMT 2024","Fri Mar 15 12:58:43 GMT 2024","56","PlaywrightAutoTests","ChromeTests","org.playground.CartPageTest","org.playground.CartPageTest","checkoutCheck","checkoutCheck",""
"passed","Fri Mar 15 12:58:43 GMT 2024","Fri Mar 15 12:58:44 GMT 2024","102","PlaywrightAutoTests","ChromiumTests","org.playground.CartPageTest","org.playground.CartPageTest","checkoutCheck","checkoutCheck",""
"passed","Fri Mar 15 12:58:33 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","197","PlaywrightAutoTests","ChromeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:27 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","267","PlaywrightAutoTests","ChromeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","158","PlaywrightAutoTests","SafariTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProducts","addAndRemoveItemsFromProducts",""
"passed","Fri Mar 15 12:58:32 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","152","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","178","PlaywrightAutoTests","ChromiumTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","157","PlaywrightAutoTests","SafariTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","914","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkProductDetails","checkProductDetails",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","165","PlaywrightAutoTests","ChromeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:27 GMT 2024","Fri Mar 15 12:58:27 GMT 2024","566","PlaywrightAutoTests","FirefoxTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","login","login",""
"passed","Fri Mar 15 12:58:33 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","128","PlaywrightAutoTests","SafariTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","167","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:49 GMT 2024","Fri Mar 15 12:58:49 GMT 2024","134","PlaywrightAutoTests","FirefoxTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:31 GMT 2024","574","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProduct","addAndRemoveItemsFromProduct",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","172","PlaywrightAutoTests","ChromeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:32 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","132","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:35 GMT 2024","Fri Mar 15 12:58:36 GMT 2024","990","PlaywrightAutoTests","SafariTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAbout","checkAbout",""
"passed","Fri Mar 15 12:58:47 GMT 2024","Fri Mar 15 12:58:47 GMT 2024","114","PlaywrightAutoTests","SafariTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","continueCheck","continueCheck",""
"passed","Fri Mar 15 12:58:44 GMT 2024","Fri Mar 15 12:58:44 GMT 2024","169","PlaywrightAutoTests","ChromiumTests","org.playground.CartPageTest","org.playground.CartPageTest","removeCartItemCheck","removeCartItemCheck",""
"passed","Fri Mar 15 12:58:36 GMT 2024","Fri Mar 15 12:58:37 GMT 2024","914","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkAllItems","checkAllItems",""
"passed","Fri Mar 15 12:58:28 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","171","PlaywrightAutoTests","SafariTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:33 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","110","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:48 GMT 2024","Fri Mar 15 12:58:50 GMT 2024","1458","PlaywrightAutoTests","ChromeTests","org.playground.CheckoutE2ETest","org.playground.CheckoutE2ETest","orderCheckoutE2E","orderCheckoutE2E",""
"passed","Fri Mar 15 12:58:47 GMT 2024","Fri Mar 15 12:58:47 GMT 2024","123","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Fri Mar 15 12:58:39 GMT 2024","Fri Mar 15 12:58:40 GMT 2024","915","PlaywrightAutoTests","FirefoxTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Fri Mar 15 12:58:32 GMT 2024","Fri Mar 15 12:58:33 GMT 2024","201","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkSorting","checkSorting",""
"passed","Fri Mar 15 12:58:31 GMT 2024","Fri Mar 15 12:58:32 GMT 2024","936","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","checkProductDetails","checkProductDetails",""
"passed","Fri Mar 15 12:58:27 GMT 2024","Fri Mar 15 12:58:28 GMT 2024","209","PlaywrightAutoTests","FirefoxTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
